gene name	KO	thrshld	score	E-value	KO definition	MAG	CP	Count
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002858_29	K02879	36.83	210.4	7.80E-63	large subunit ribosomal protein L17	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002858_31	K07493	49.3	356.6	2.70E-107	putative transposase	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002858_35	K07497	14.27	20.6	5.20E-05	putative transposase	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002945_9	K01214	935.73	950.9	2.00E-286	isoamylase [EC:3.2.1.68]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002945_13	K13598	282	310.9	3.70E-93	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002945_14	K06207	317.9	918	8.50E-277	GTP-binding protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_2	K02387	70.1	103.2	2.90E-30	flagellar basal-body rod protein FlgB	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_3	K02388	59.4	142.9	2.20E-42	flagellar basal-body rod protein FlgC	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_4	K02408	31.57	78.7	1.20E-22	flagellar hook-basal body complex protein FliE	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_5	K02409	130.53	471.2	1.10E-141	flagellar M-ring protein FliF	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_6	K02410	47.17	342.5	7.10E-103	flagellar motor switch protein FliG	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_9	K02413	40.8	55.3	1.50E-15	flagellar FliJ protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_11	K02414	60.6	66.5	5.30E-19	flagellar hook-length control protein FliK	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_12	K02389	41.8	200.3	1.40E-59	flagellar basal-body rod modification protein FlgD	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_13	K02390	166.03	405.1	6.30E-122	flagellar hook protein FlgE	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_14	K02385	43.67	72.7	4.70E-21	flagellar protein FlbD	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_15	K02415	32.1	98.3	1.30E-28	flagellar FliL protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_16	K02416	114	213.6	1.00E-63	flagellar motor switch protein FliM	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_17	K02417	68.27	134.5	1.30E-39	flagellar motor switch protein FliN/FliY	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_18	K02418	24.63	62.1	1.10E-17	flagellar protein FliO/FliZ	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_19	K02419	287	381	1.50E-114	flagellar biosynthetic protein FliP	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_20	K02420	88.43	100.3	9.00E-30	flagellar biosynthetic protein FliQ	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_21	K02421	170.93	231.3	2.60E-69	flagellar biosynthetic protein FliR	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_22	K02401	371.43	450	2.20E-135	flagellar biosynthetic protein FlhB	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_23	K02400	735.2	913.7	1.40E-275	flagellar biosynthesis protein FlhA	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002962_26	K02405	186.47	193.6	1.30E-57	RNA polymerase sigma factor for flagellar operon FliA	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003040_1	K03924	107.1	293.2	6.20E-88	MoxR-like ATPase [EC:3.6.3.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003040_9	K03088	62	160.7	1.20E-47	RNA polymerase sigma-70 factor, ECF subfamily	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_1	K09760	122.87	316.8	5.80E-95	DNA recombination protein RmuC	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_3	K19200	146.83	306.6	5.10E-92	isopenicillin-N N-acyltransferase like protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_10	K08968	110.27	167	8.30E-50	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_11	K07029	159.3	221.9	2.90E-66	diacylglycerol kinase (ATP) [EC:2.7.1.107]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_14	K07043	36.57	221.4	5.70E-66	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003054_15	K12410	226.33	294.2	3.10E-88	NAD-dependent deacetylase [EC:3.5.1.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_2	K01775	84.67	387.8	1.50E-116	alanine racemase [EC:5.1.1.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_4	K03797	124.47	429.1	5.70E-129	carboxyl-terminal processing protease [EC:3.4.21.102]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_5	K00943	92.13	224.8	3.90E-67	dTMP kinase [EC:2.7.4.9]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_6	K17884	179.63	180.7	7.30E-54	archaetidylinositol phosphate synthase [EC:2.7.8.39]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_7	K07056	105.13	341.2	1.50E-102	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_8	K01916	177.6	290.8	4.30E-87	NAD+ synthase [EC:6.3.1.5]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_11	K05788	121.5	130	1.30E-38	integration host factor subunit beta	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_11	K03530	114.73	119.2	3.90E-35	DNA-binding protein HU-beta	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_14	K03704	80.67	113.2	3.90E-33	cold shock protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_15	K12132	234.1	320.8	2.40E-96	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_15	K08884	235.33	294.4	3.80E-88	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_16	K06949	76.3	345.8	6.30E-104	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_19	K03750	264.03	438.5	7.20E-132	molybdopterin molybdotransferase [EC:2.10.1.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_20	K03637	79.6	259.5	9.20E-78	cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003071_22	K00929	237.73	442.4	2.30E-133	butyrate kinase [EC:2.7.2.7]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003136_3	K07451	48.87	52.2	9.20E-15	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003136_5	K03564	141.13	173.5	1.50E-51	peroxiredoxin Q/BCP [EC:1.11.1.15]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003136_12	K01337	160.8	534.2	1.20E-160	lysyl endopeptidase [EC:3.4.21.50]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_2	K07451	48.87	55.5	9.60E-16	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_6	K16899	232.7	363.7	5.70E-109	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_7	K16898	479.03	606.2	3.10E-182	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_9	K02458	57.77	61.4	2.60E-17	general secretion pathway protein I	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_10	K02672	61.57	76	5.10E-22	type IV pilus assembly protein PilW	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_12	K07258	233.5	313	9.30E-94	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_14	K00180	132.07	206.4	8.40E-62	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003214_15	K00179	402.2	720	4.50E-217	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_3	K01992	25.33	34.4	2.50E-09	ABC-2 type transport system permease protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_4	K01990	254.93	338.2	2.00E-101	ABC-2 type transport system ATP-binding protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_8	K03088	62	162.7	2.90E-48	RNA polymerase sigma-70 factor, ECF subfamily	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_14	K07736	56.5	135.8	3.60E-40	CarD family transcriptional regulator	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_15	K03465	44.93	118.6	7.10E-35	thymidylate synthase (FAD) [EC:2.1.1.148]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_16	K11473	273.03	382.2	5.90E-115	glycolate oxidase iron-sulfur subunit	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_17	K00104	487.27	619	1.70E-186	glycolate oxidase [EC:1.1.3.15]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003556_19	K03644	136.23	471.5	1.10E-141	lipoyl synthase [EC:2.8.1.8]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_1	K07497	14.27	23.2	8.40E-06	putative transposase	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_2	K07497	14.27	126.9	2.50E-37	putative transposase	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_3	K11753	126.03	320.1	4.10E-96	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_4	K02956	35	120.9	1.60E-35	small subunit ribosomal protein S15	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_5	K00962	156.87	1046.8	0	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_6	K07263	282.93	306.5	1.00E-91	zinc protease [EC:3.4.24.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_9	K03498	82.13	302.7	9.30E-91	trk system potassium uptake protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_10	K03499	140.8	157.2	1.00E-46	trk system potassium uptake protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_11	K01893	370.3	494.9	6.60E-149	asparaginyl-tRNA synthetase [EC:6.1.1.22]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_13	K03701	137.17	1335.7	0	excinuclease ABC subunit A	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_14	K00605	305.07	422.7	5.80E-127	aminomethyltransferase [EC:2.1.2.10]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003584_15	K02437	36.03	186.6	1.00E-55	glycine cleavage system H protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_1	K03551	104.3	231.8	3.20E-69	holliday junction DNA helicase RuvB [EC:3.6.4.12]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_2	K07568	83.73	471.3	7.80E-142	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_3	K00773	285	572.2	3.00E-172	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_4	K03210	39.27	116.5	3.10E-34	preprotein translocase subunit YajC	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_5	K01462	46.17	176.1	1.80E-52	peptide deformylase [EC:3.5.1.88]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_6	K00604	264.83	275.7	1.90E-82	methionyl-tRNA formyltransferase [EC:2.1.2.9]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_7	K03500	313.8	376	9.80E-113	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_9	K01783	186.1	271.1	2.80E-81	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_10	K03106	330.3	571.3	3.70E-172	signal recognition particle subunit SRP54 [EC:3.6.5.4]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_11	K02959	29.37	140.3	2.40E-41	small subunit ribosomal protein S16	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_12	K06960	46.23	78.5	9.80E-23	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_13	K02860	36.9	112.1	6.80E-33	16S rRNA processing protein RimM	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_14	K00554	128.77	346.4	4.70E-104	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_15	K02884	36.8	182.3	2.00E-54	large subunit ribosomal protein L19	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_16	K03470	129.13	254.6	3.30E-76	ribonuclease HII [EC:3.1.26.4]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_17	K07460	28.7	109.1	3.90E-32	putative endonuclease	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003602_20	K07391	238.83	499.4	3.50E-150	magnesium chelatase family protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_1	K01256	439.17	753.1	1.40E-226	aminopeptidase N [EC:3.4.11.2]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_2	K07451	48.87	54.7	1.60E-15	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_7	K00525	385.33	643.4	9.00E-194	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_8	K02503	85.4	131.7	6.90E-39	histidine triad (HIT) family protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_13	K03734	37.67	308.5	1.90E-92	FAD:protein FMN transferase [EC:2.7.1.180]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003615_14	K03613	234.03	337.5	1.70E-101	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_1	K07486	28.6	94	2.80E-27	transposase	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_4	K03568	307.17	421	1.20E-126	TldD protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_7	K03496	131.37	235	3.30E-70	chromosome partitioning protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_8	K09775	71.23	150.3	1.10E-44	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_10	K04096	30.23	41.8	2.00E-11	DNA processing protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003623_11	K19802	285.93	345.9	6.20E-104	L-Ala-D/L-Glu epimerase [EC:5.1.1.20]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_2	K08988	102.43	106.2	3.70E-31	putative membrane protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_3	K06872	46.03	151.1	6.30E-45	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_4	K03744	35.17	292.4	9.80E-88	LemA protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_6	K02005	214.27	216.8	1.10E-64	HlyD family secretion protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_8	K20074	131.73	279.8	6.60E-84	PPM family protein phosphatase [EC:3.1.3.16]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_11	K04773	181.77	365.5	1.10E-109	protease IV [EC:3.4.21.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_12	K06998	106.67	114.7	1.10E-33	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003672_14	K04773	181.77	375.2	1.30E-112	protease IV [EC:3.4.21.-]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003840_4	K06940	24.03	41.1	2.00E-11	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003946_1	K00820	178.97	191.6	3.90E-57	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003946_4	K01784	264.1	339.1	1.10E-101	UDP-glucose 4-epimerase [EC:5.1.3.2]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003946_5	K03701	137.17	1216.6	0	excinuclease ABC subunit A	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003946_15	K02527	128.27	305.9	1.00E-91	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_3	K00185	183.77	319.9	4.40E-96	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_4	K00184	237.9	283.3	8.90E-85	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_6	K01679	618.23	706.5	8.00E-213	fumarate hydratase, class II [EC:4.2.1.2]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_7	K03284	173.53	355.3	1.00E-106	magnesium transporter	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_10	K03088	62	126.3	3.50E-37	RNA polymerase sigma-70 factor, ECF subfamily	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_12	K01907	554.83	955.7	2.40E-288	acetoacetyl-CoA synthetase [EC:6.2.1.16]	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_13	K08482	125.67	369.4	6.20E-111	circadian clock protein KaiC	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004045_16	K09939	59.37	85.3	6.80E-25	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004123_2	K07164	75.13	105.8	4.30E-31	uncharacterized protein	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004123_3	K03086	438.57	511.6	4.70E-154	RNA polymerase primary sigma factor	K_DeepCast_100m_m2_321.faa	CP Ziwabacteria	1
